ACTRESS|TWITTER_URL
Gwyneth Paltrow|https://twitter.com/GwynethPaltrow
Danielle Panabaker|https://www.twitter.com/dpanabaker
Hayden Panettiere|
Annie Parisse|
Grace Park (actress)|
Linda Park|
Eleanor Parker|
Lara Parker|
Mary-Louise Parker|
Nicole Ari Parker|https://twitter.com/nicolearip
Sarah Jessica Parker|
Suzy Parker|
Leslie Parrish|
Estelle Parsons|
Karyn Parsons|
Dolly Parton|
Marnette Patterson|
Alexandra Paul|
Sarah Paulson|https://twitter.com/MsSarahPaulson
Sara Paxton|https://twitter.com/Sara_Paxton
Nia Peeples|
Amanda Peet|
Elizabeth Peña|
Piper Perabo|http://twitter.com/PiperPerabo
Rosie Perez|
Elizabeth Perkins|https://twitter.com/elizbethperkins
Rhea Perlman|
Pauley Perrette|http://twitter.com/pauleyp
Valerie Perrine|
Donna Pescow|
Bernadette Peters|
Jean Peters|
Susan Peters|
Amanda Peterson|
Cassandra Peterson|
Valarie Pettiford|
Madison Pettis|http://twitter.com/MadisonPettis22|https://twitter.com/MadisonPettis
Lori Petty|
Dedee Pfeiffer|
Michelle Pfeiffer|
Mary Philbin|
Busy Philipps|https://twitter.com/busyphilipps25
Gina Philips|
Bijou Phillips|
Mackenzie Phillips|
Michelle Phillips|
Cindy Pickett|
Mary Pickford|
Jada Pinkett Smith|
Maria Pitillo|
Zasu Pitts|
Mary Kay Place|
Dana Plato|
Alice Playten|
Suzanne Pleshette|
Martha Plimpton|
Eve Plumb|
Amy Poehler|
Sydney Tamiia Poitier|
Teri Polo|
Scarlett Pomers|https://www.twitter.com/spomers
Ellen Pompeo|https://twitter.com/EllenPompeo
Alisan Porter|
Natalie Portman|
Parker Posey|
Markie Post|
Monica Potter|
Annie Potts|
CCH Pounder|
Phyllis Povah|
Eleanor Powell|
Jane Powell|
Stefanie Powers|
Keri Lynn Pratt|
Laura Prepon|
Paula Prentiss|
Jaime Pressly|
Carrie Preston|
Kelly Preston|
Lindsay Price|https://twitter.com/#!/curtis_stone
Megyn Price|https://twitter.com/MegynPrice
Pat Priest|
Victoria Principal|
Emily Procter|
Dorothy Provine|
Linda Purl|
Maggie Q|https://twitter.com/MaggieQ
Kathleen Quinlan|
Aileen Quinn|https://twitter.com/aileenquinn
Cassidy Rae|
Charlotte Rae|
Cristina Raines|
Ella Raines|
Francia Raisa|
Mary Lynn Rajskub|https://twitter.com/rajskub
Sheryl Lee Ralph|
Esther Ralston|
Marjorie Rambeau|
Leven Rambin|https://twitter.com/levenrambin
Dania Ramirez|https://twitter.com/DaniaJRamirez
Sara Ramirez|
Anne Ramsey|
Laura Ramsey|
Theresa Randle|
Phylicia Rashad|
Kim Raver|
Navi Rawat|
Martha Raye|
Tania Raymonde|
Nancy Davis Reagan|
Elizabeth Reaser|
Crystal Reed|https://twitter.com/CrystalmReed
Donna Reed|
Nikki Reed|https://twitter.com/JacksonRathbone|https://www.twitter.com/#!/alexavega
Pamela Reed|
Autumn Reeser|https://twitter.com/autumnreeser
Bridget Regan|http://twitter.com/BridgetRegan
Tara Reid|https://twitter.com/TaraReid
Lee Remick|
Leah Remini|
Anne Revere|
Judy Reyes|
Debbie Reynolds|
Alicia Rhett|
Barbara Rhoades|
Cynthia Rhodes|
Jennifer Rhodes|
Kim Rhodes|https://twitter.com/kimrhodes4real
Marissa Ribisi|
Gigi Rice|
Christina Ricci|
Ariana Richards|
Beah Richards|
Denise Richards|
Kim Richards|
Kyle Richards|
Cameron Richardson|
LaTanya Richardson|
Patricia Richardson|https://twitter.com/prichardsonla
Beth Riesgraf|
Amanda Righetti|https://twitter.com/AmandaERighetti
Molly Ringwald|
Lisa Rinna|https://twitter.com/lisarinna
Kelly Ripa|https://twitter.com/KellyRipa
Thelma Ritter|
AnnaSophia Robb|
Emma Roberts|https://twitter.com/RobertsEmma
Julia Roberts|
Tanya Roberts|
Britt Robertson|
Ann Robinson|
Holly Robinson-Peete|
Lela Rochon|
Michelle Rodriguez|https://twitter.com/MRodOfficial
Sarah Roemer|
Ginger Rogers|
Mimi Rogers|
Elisabeth Rohm|
Esther Rolle|
Rose Rollins|
Ruth Roman|
Christy Carlson Romano|
Rebecca Romijn|
Cristine Rose|
Emily Rose (actress)|
Margot Rose|
Diana Ross|
Katharine Ross|
Tracee Ellis Ross|
Emmy Rossum|https://twitter.com/emmyrossum|https://www.twitter.com/emmyrossum
Lillian Roth|
Misty Rowe|
Victoria Rowell|
Gena Rowlands|
Zelda Rubinstein|
Maya Rudolph|
Sara Rue|https://twitter.com/sararueforreal
Mercedes Ruehl|
Janice Rule|
Olesya Rulin|https://twitter.com/olesyarulin
Jennifer Runyon|
Debra Jo Rupp|
Betsy Russell|
Gail Russell|
Jane Russell|
Keri Russell|
Rosalind Russell|
Theresa Russell|
Deanna Russo|
Rene Russo|
Kelly Rutherford|
Amy Ryan|
Blanchard Ryan|
Debby Ryan|https://www.twitter.com/thedebbyryan|https://twitter.com/DebbyRyan
Eileen Ryan|
Irene Ryan|
Jeri Ryan|https://twitter.com/JeriLRyan
Meg Ryan|
Winona Ryder|
Katee Sackhoff|
Katey Sagal|https://twitter.com/MrRPMurphy|https://twitter.com/
Eva Marie Saint|
Susan Saint James|
Jill St. John|
Zoe Saldana|
Laura San Giacomo|
Kiele Sanchez|
Erin Sanders|
Jackie Sandler|
Mia Sara|
Susan Sarandon|
Tura Satana|
Allison Scagliotti|
Gia Scala|
Diana Scarwid|
Cassie Scerbo|https://twitter.com/CassieScerbo
Annabella Sciorra|
Ashley Scott|
Lizabeth Scott|
Martha Scott|
Amy Sedaris|
Kyra Sedgwick|https://twitter.com/kyrasedgwick
Sandra Seacat|
Marian Seldes|
Christian Serratos|https://twitter.com/cserratos
Joan Severance|
Chloë Sevigny|
Amanda Seyfried|https://twitter.com/AmandaSeyfried
Sarah Shahi|https://twitter.com/onlysarahshahi
Molly Shannon|
Lindsey Shaw|https://mobile.twitter.com/LadyShawsters|https://twitter.com/LadyShawsters
Alia Shawkat|
Norma Shearer|
Anne Schedeen|
Ally Sheedy|
Adrienne Shelly|
Marley Shelton|
Cybill Shepherd|
Sherri Shepherd|
Ann Sheridan|
Lisa Sheridan|
Brooke Shields|
Talia Shire|
Anne Shirley (actress)|
Dinah Shore|
Elisabeth Shue|
Gabourey Sidibe|
Sylvia Sidney|
Maggie Siff|
Jamie-Lynn Sigler|https://twitter.com/JamieLSigler
Karen Sillas|
Leslie Silva|
Sarah Silverman|https://twitter.com/SarahKSilverman
Alicia Silverstone|
Jessica Simpson|
Molly Sims|
Lori Singer|
Marina Sirtis|
Jennifer Sky|
Azura Skye|
Ione Skye|https://twitter.com/IoneSkye1
Helen Slater|
Amy Smart|
Jean Smart|
Amber Smith|
Jaclyn Smith|http://twitter.com/realjaclynsmith
Jada Pinkett Smith|
Kellita Smith|
Tasha Smith|
Lois Smith|
Shawnee Smith|
Jan Smithers|
Carrie Snodgress|
Brittany Snow|
Liza Snyder|
Leelee Sobieski|
Rena Sofer|
Marla Sokoloff|https://twitter.com/marlasok
Bonnie Somerville|
Phyllis Somerville|
Suzanne Somers|
Gale Sondergaard|
Brenda Song|https://twitter.com/BrendaSong
Mira Sorvino|https://twitter.com/MiraSorvino
Shannyn Sossamon|
Ann Sothern|
Sissy Spacek|
Britney Spears|
Jamie Lynn Spears|
Danielle Spencer (American actress)|
Octavia Spencer|https://twitter.com/octaviaspencer
Kelly Stables|
Kim Stanley|
Barbara Stanwyck|
Jean Stapleton|
Maureen Stapleton|
Karen Steele|
Mary Steenburgen|
Hailee Steinfeld|https://twitter.com/#!/HaileeSteinfeld
Jan Sterling|
Mindy Sterling|
Connie Stevens|
Elaine Stewart|
Kristen Stewart|
Julia Stiles|
Emma Stone|
Jennifer Stone|https://twitter.com/comeagainjen
Sharon Stone|https://twitter.com/sharonstone
Alyson Stoner|
Madeleine Stowe|
Beatrice Straight|
Susan Strasberg|
Meryl Streep|
Barbra Streisand|
Brenda Strong|https://twitter.com/brenda_strong
Jessica Stroup|https://twitter.com/JessicaLStroup
Sally Struthers|
Gloria Stuart|
Margaret Sullavan|
Mena Suvari|
Dominique Swain|
Hilary Swank|
Gloria Swanson|
Kristy Swanson|
Julia Sweeney|
Jodie Sweetin|https://twitter.com/JodieTweetin
Taylor Swift|https://twitter.com/aliciakeys|https://twitter.com/TheRyanAdams
Loretta Swit|
Kristine Sutherland|
Raven-Symoné|https://twitter.com/MissRavenSymone
Nita Talbot|
Patricia Tallman|https://twitter.com/patriciatallman
Constance Talmadge|
Natalie Talmadge|
Norma Talmadge|
Amber Tamblyn|
Jessica Tandy|
Sharon Tate|
Christine Taylor|
Elizabeth Taylor|
Holland Taylor|https://twitter.com/HollandTaylor
Jennifer Bini Taylor|https://twitter.com/jenniferBTaylor
Leigh Taylor-Young|
Lili Taylor|
Scout Taylor-Compton|
Aimee Teegarden|https://twitter.com/Aimeeteegarden
Juno Temple|
Shirley Temple|
Tia Texada|
Charlize Theron|
Tiffany Thiessen|
Lynne Thigpen|
Marlo Thomas|
Michelle Thomas|
Lea Thompson|
Susanna Thompson|
Bella Thorne|https://twitter.com/bellathorne
Courtney Thorne-Smith|
Uma Thurman|
Gene Tierney|
Maura Tierney|
Pamela Tiffin|
Jennifer Tilly|
Meg Tilly|
Addison Timlin|https://twitter.com/Addijay
Analeigh Tipton|
Ashley Tisdale|
Thelma Todd|
Lauren Tom|
Marisa Tomei|
Tamlyn Tomita|
Lily Tomlin|
Gina Torres|
Audrey Totter|
Katharine Towne|
Michelle Trachtenberg|https://twitter.com/RealMichelleT
Nancy Travis|
Claire Trevor|
Jeanne Tripplehorn|
Rachel True|
Robin Tunney|
Janine Turner|
Kathleen Turner|
Lana Turner|
Aisha Tyler|http://twitter.com/aishatyler
Liv Tyler|http://twitter.com/#!/ParfumsGivenchy
Susan Tyrrell|
Cicely Tyson|
Katelyn Tarver|https://twitter.com/#!/katelyntarver
Alanna Ubach|
Leslie Uggams|
Carrie Underwood|https://twitter.com/carrieunderwood
Gabrielle Union|
Brenda Vaccaro|
Amber Valletta|
Danitra Vance|
Mamie Van Doren|
Jo Van Fleet|
Shantel VanSanten|
Diane Varsi|
Liz Vassey|
Sofia Vassilieva|
Alexa Vega|https://twitter.com/alexavega
Nadine Velazquez|
Lupe Vélez|
Yvette Vickers|
Nana Visitor|
Lark Voorhies|
Lindsay Wagner|
Natasha Gregson Wagner|
Shawna Waldron|
Dee Wallace|
Marcia Wallace|
Quvenzhané Wallis|
Kate Walsh (actress)|http://twitter.com/k8_walsh
Maiara Walsh|
Lisa Ann Walter|
Nancy Walters|
Sela Ward|
Susan Ward|
Julie Warner|
Jennifer Warren|
Lesley Ann Warren|
Fredi Washington|
Kerry Washington|https://twitter.com/KerryWashington
Ethel Waters|
Naomi Watts|
Carol Wayne|
Sigourney Weaver|
Virginia Weidler|
Rachel Weisz|
Raquel Welch|
Tahnee Welch|
Tuesday Weld|
Dawn Wells|
Mae West|
Celia Weston|
Shannon Whirry|
Betty White|http://www.twitter.com/weluvbettywhite
Karen Malina White|
Lynn Whitfield|
Mae Whitman|
Grace Lee Whitney|
Dianne Wiest|
Kristen Wiig|
Olivia Wilde|https://twitter.com/oliviawilde
Cara Williams|
Cindy Williams|
Esther Williams|
JoBeth Williams|
Michelle Williams (actress)|
Vanessa A. Williams|
Zelda Williams|https://www.twitter.com/#!/zeldawilliams
Kimberly Williams-Paisley|https://twitter.com/Kimwilliamspais
Rumer Willis|
Bridgette Wilson|
Rita Wilson|https://twitter.com/RitaWilson
Sheree J. Wilson|
Camille Winbush|
Oprah Winfrey|
Debra Winger|
Mare Winningham|
Mary Elizabeth Winstead|https://twitter.com/M_E_Winstead|https://twitter.com/#!/M_E_Winstead
Ariel Winter|https://twitter.com/arielwinter1
Shelley Winters|
Reese Witherspoon|http://twitter.com/Hibbits
Alicia Witt|http://twitter.com/aliciawitty
Collette Wolfe|
Evan Rachel Wood|https://www.twitter.com/evanrachelwood|http://mobile.twitter.com/evanrachelwood|https://twitter.com/evanrachelwood
Lana Wood|
Natalie Wood|
Alfre Woodard|
Joanne Woodward|
Shannon Woodward|https://twitter.com/shannonwoodward
Fay Wray|
N'Bushe Wright|
Robin Wright|
Teresa Wright|
Jane Wyman|
Jane Wyatt|
Amy Yasbeck|
Morgan York|
Loretta Young|
Sean Young|
Grace Zabriskie|
Pia Zadora|
Carmen Zapata|
Natalie Zea|
Renée Zellweger|
Zendaya|
Madeline Zima|
Yvonne Zima|
Stephanie Zimbalist|
Daphne Zuniga|
